iso,name,family,C_H,WALS_NumChap,C_WALS,C_TTR,C_D,C_A
abt,Ambulas,Ndu,-0.5868496671,6,0.3333333333,0.0236175367,0.18275815,-0.1636392149
ace,Achinese,Austronesian,0.1797824788,14,0.1726190476,0.032257008,0.17241824,-0.2953142612
acu,Achuar-Shiwiar,Jivaroan,0.4438618077,6,1,0.1085427658,0.3831619,-0.093759702
adj,Adioukrou,Atlantic-Congo,-0.7836596445,8,0.5,0.023921008,0.1438365,-0.3463137312
aey,Amele,Nuclear_Trans_New_Guinea,0.1790490391,27,0.4560405644,0.0603009254,0.25130224,-0.177535196
afr,Afrikaans,Indo-European,-0.6517712733,4,0.125,0.0265510084,0.1397373657,-0.170054435
agd,Agarabi,Nuclear_Trans_New_Guinea,0.1123880715,6,0.9166666667,0.0457279784,0.24242294,-0.3155846069
agg,Angor,Senagi,0.6094211973,8,0.5,0.1190919828,0.35325599,-0.1302184179
agr,Aguaruna,Jivaroan,1.570189981,1,0,0.1647364594,0.49075937,-0.0697653573
agt,Central Cagayan Agta,Austronesian,-1.2207659042,8,0.625,0.0308358896,0.18295741,-0.1374990586
ahk,Akha,Sino-Tibetan,-0.6561233851,6,0.1666666667,0.0136816666,0.14758432,-0.5361615032
aia,Arosi,Austronesian,-0.2115184386,7,0.2857142857,0.0283996721,0.22558105,-0.3152361953
aln,Gheg Albanian,Indo-European,0.3026581581,17,0.6029411765,0.0380953075,0.21159369,-0.1352623623
alp,Alune,Austronesian,-0.70025604,9,0.3333333333,0.0243360343,0.15994799,-0.2769940801
alt,Southern Altai,Turkic,1.2710408073,1,0,0.1295563244,0.386040625,-0.0136287224
aly,Alyawarr,Pama-Nyungan,1.1857408256,12,0.8472222222,0.122599991,0.50154209,0.0485699583
ame,Yanesha',Arawakan,0.5301355525,2,1,0.121302058,0.37382901,-0.0927452159
amf,Hamer-Banna,South_Omotic,1.2438123339,2,0.2916666667,0.1077243929,0.3566798,-0.18672456
amh,Amharic,Afro-Asiatic,2.031536915,21,0.5428571429,0.236929593,0.4997266533,0.0742117491
amk,Ambai,Austronesian,-0.0691498723,8,0.5,0.0424129544,0.22537005,-0.2823162896
amn,Amanab,Border,-0.0417927865,7,0.4285714286,0.0696093975,0.29995364,-0.1358703654
amp,Alamblak,Sepik,0.9349893708,24,0.640922619,0.1130247531,0.35493898,-0.0745011045
ann,Obolo,Atlantic-Congo,-0.4008508871,12,0.4166666667,0.036024215,0.20263863,-0.3516089296
aoj,Mufian,Nuclear_Torricelli,0.3088662865,7,0.4285714286,0.0623308896,0.26716721,-0.3205731512
aom,ÃƒÂ–mie,Koiarian,0.8715188188,6,0.5,0.0776145061,0.34435749,-0.1826620676
ape,Bukiyip,Nuclear_Torricelli,0.0021329923,21,0.5382653061,0.0559767716,0.21470356,-0.3543287008
apn,ApinayÃƒÂ©,Nuclear-Macro-Je,-1.3465870713,5,0.55,0.0095975519,0.098248601,-0.091301089
apr,Arop-Lokep,Austronesian,-1.3573380343,4,0.25,0.0120115355,0.080849051,-0.4823672527
apu,ApurinÃƒÂ£,Arawakan,0.6378818674,27,0.573015873,0.0923530262,0.33457291,-0.0260768059
apw,Western Apache,Athapaskan-Eyak-Tlingit,1.1076793299,5,1,0.1389482561,0.31619775,-0.0662255522
apy,ApalaÃƒÂ­,Cariban,-0.1548201946,14,0.5714285714,0.0479619653,0.21670473,-0.0933720143
arb,Standard Arabic,Afro-Asiatic,2.1685528043,5,0.8,0.1520890096,0.44126546,0.0291122836
are,Western Arrarnta,Pama-Nyungan,0.130637368,5,1,0.0604136091,0.30694044,-0.0689157011
arl,Arabela,Zaparoan,-0.0101721765,1,0.875,0.0926712963,0.42850423,-0.0587953219
