"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2023-10-01,"Spanish (Peruvian)","WG","WG",121192,80287,8,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121211,80306,8,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121216,80311,8,"production",2,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121218,80313,8,"production",1,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121219,80314,8,"production",6,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121220,80315,8,"production",1,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121238,80333,8,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121242,80337,8,"production",1,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121252,80347,8,"production",1,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121193,80288,9,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121194,80289,9,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121195,80290,9,"production",1,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121203,80298,9,"production",26,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121204,80299,9,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121205,80300,9,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121210,80305,9,"production",4,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121214,80309,9,"production",3,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121239,80334,9,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121243,80338,9,"production",3,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121246,80341,9,"production",7,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121250,80345,9,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121196,80291,10,"production",3,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121197,80292,10,"production",0,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121206,80301,10,"production",3,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121207,80302,10,"production",9,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121240,80335,10,"production",5,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121244,80339,10,"production",5,87,TRUE,TRUE,TRUE
2023-10-01,"Spanish (Peruvian)","WG","WG",121247,80342,10,"production",2,87,TRUE,TRUE,TRUE
